file_url	time_period	data_type
https://www.fec.gov/files/bulk-downloads/1984/indiv84.zip	1983–1984	Contributions by individuals
https://www.fec.gov/files/bulk-downloads/1982/indiv82.zip	1981–1982	Contributions by individuals
https://www.fec.gov/files/bulk-downloads/1980/indiv80.zip	1979–1980	Contributions by individuals
https://www.fec.gov/files/bulk-downloads/2020/pas220.zip	2019–2020	Contributions from committees to candidates & independent expenditures
https://www.fec.gov/files/bulk-downloads/2018/pas218.zip	2017–2018	Contributions from committees to candidates & independent expenditures
https://www.fec.gov/files/bulk-downloads/2016/pas216.zip	2015–2016	Contributions from committees to candidates & independent expenditures
https://www.fec.gov/files/bulk-downloads/2014/pas214.zip	2013–2014	Contributions from committees to candidates & independent expenditures
https://www.fec.gov/files/bulk-downloads/2012/pas212.zip	2011–2012	Contributions from committees to candidates & independent expenditures
https://www.fec.gov/files/bulk-downloads/2010/pas210.zip	2009–2010	Contributions from committees to candidates & independent expenditures
https://www.fec.gov/files/bulk-downloads/2008/pas208.zip	2007-2008	Contributions from committees to candidates & independent expenditures
https://www.fec.gov/files/bulk-downloads/2006/pas206.zip	2005–2006	Contributions from committees to candidates & independent expenditures
https://www.fec.gov/files/bulk-downloads/2004/pas204.zip	2003–2004	Contributions from committees to candidates & independent expenditures
https://www.fec.gov/files/bulk-downloads/2002/pas202.zip	2001-2002	Contributions from committees to candidates & independent expenditures
https://www.fec.gov/files/bulk-downloads/2000/pas200.zip	1999–2000	Contributions from committees to candidates & independent expenditures
https://www.fec.gov/files/bulk-downloads/1998/pas298.zip	1997–1998	Contributions from committees to candidates & independent expenditures
https://www.fec.gov/files/bulk-downloads/1996/pas296.zip	1995–1996	Contributions from committees to candidates & independent expenditures
https://www.fec.gov/files/bulk-downloads/1994/pas294.zip	1993–1994	Contributions from committees to candidates & independent expenditures
https://www.fec.gov/files/bulk-downloads/1992/pas292.zip	1991–1992	Contributions from committees to candidates & independent expenditures
https://www.fec.gov/files/bulk-downloads/1990/pas290.zip	1989–1990	Contributions from committees to candidates & independent expenditures
https://www.fec.gov/files/bulk-downloads/1988/pas288.zip	1987–1988	Contributions from committees to candidates & independent expenditures
https://www.fec.gov/files/bulk-downloads/1986/pas286.zip	1985–1986	Contributions from committees to candidates & independent expenditures
https://www.fec.gov/files/bulk-downloads/1984/pas284.zip	1983–1984	Contributions from committees to candidates & independent expenditures
https://www.fec.gov/files/bulk-downloads/1982/pas282.zip	1981–1982	Contributions from committees to candidates & independent expenditures
https://www.fec.gov/files/bulk-downloads/2020/oth20.zip	2019–2020	Any transaction from one committee to another
https://www.fec.gov/files/bulk-downloads/2018/oth18.zip	2017–2018	Any transaction from one committee to another
https://www.fec.gov/files/bulk-downloads/2016/oth16.zip	2015–2016	Any transaction from one committee to another
https://www.fec.gov/files/bulk-downloads/2014/oth14.zip	2013–2014	Any transaction from one committee to another
https://www.fec.gov/files/bulk-downloads/2012/oth12.zip	2011–2012	Any transaction from one committee to another
https://www.fec.gov/files/bulk-downloads/2010/oth10.zip	2009–2010	Any transaction from one committee to another
https://www.fec.gov/files/bulk-downloads/2008/oth08.zip	2007-2008	Any transaction from one committee to another
https://www.fec.gov/files/bulk-downloads/2006/oth06.zip	2005–2006	Any transaction from one committee to another
https://www.fec.gov/files/bulk-downloads/2004/oth04.zip	2003–2004	Any transaction from one committee to another
https://www.fec.gov/files/bulk-downloads/2002/oth02.zip	2001-2002	Any transaction from one committee to another
https://www.fec.gov/files/bulk-downloads/2000/oth00.zip	1999–2000	Any transaction from one committee to another
https://www.fec.gov/files/bulk-downloads/1998/oth98.zip	1997–1998	Any transaction from one committee to another
https://www.fec.gov/files/bulk-downloads/1996/oth96.zip	1995–1996	Any transaction from one committee to another
https://www.fec.gov/files/bulk-downloads/1994/oth94.zip	1993–1994	Any transaction from one committee to another
https://www.fec.gov/files/bulk-downloads/1992/oth92.zip	1991–1992	Any transaction from one committee to another
