displayLabel,fileExtension,folder,formattedLastModifiedTime,formattedSize,justFileName,link,mimeType,name,size
BILLS-114hr159ih.xml,xml,False,14-Oct-2016 11:14,11.2 kB,BILLS-114hr159ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr159ih.xml,application/xml,BILLS-114hr159ih.xml,11419
BILLS-114hr157ih.xml,xml,False,15-Oct-2016 12:36,5 kB,BILLS-114hr157ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr157ih.xml,application/xml,BILLS-114hr157ih.xml,5123
BILLS-114hr160ih.xml,xml,False,14-Oct-2016 10:50,16.9 kB,BILLS-114hr160ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr160ih.xml,application/xml,BILLS-114hr160ih.xml,17315
BILLS-114hr204ih.xml,xml,False,15-Oct-2016 12:13,28 kB,BILLS-114hr204ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr204ih.xml,application/xml,BILLS-114hr204ih.xml,28701
BILLS-114hr207ih.xml,xml,False,14-Oct-2016 11:45,11.3 kB,BILLS-114hr207ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr207ih.xml,application/xml,BILLS-114hr207ih.xml,11579
BILLS-114hr210ih.xml,xml,False,14-Oct-2016 10:26,4.8 kB,BILLS-114hr210ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr210ih.xml,application/xml,BILLS-114hr210ih.xml,4957
BILLS-114hr208ih.xml,xml,False,15-Oct-2016 12:13,5.9 kB,BILLS-114hr208ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr208ih.xml,application/xml,BILLS-114hr208ih.xml,6082
BILLS-114hr206ih.xml,xml,False,14-Oct-2016 11:45,7 kB,BILLS-114hr206ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr206ih.xml,application/xml,BILLS-114hr206ih.xml,7203
BILLS-114hr209ih.xml,xml,False,14-Oct-2016 11:46,2.8 kB,BILLS-114hr209ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr209ih.xml,application/xml,BILLS-114hr209ih.xml,2858
BILLS-114hr278ih.xml,xml,False,15-Oct-2016 12:11,4.3 kB,BILLS-114hr278ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr278ih.xml,application/xml,BILLS-114hr278ih.xml,4359
BILLS-114hr189ih.xml,xml,False,14-Oct-2016 10:52,2.8 kB,BILLS-114hr189ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr189ih.xml,application/xml,BILLS-114hr189ih.xml,2874
BILLS-114hr190ih.xml,xml,False,14-Oct-2016 11:42,2.4 kB,BILLS-114hr190ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr190ih.xml,application/xml,BILLS-114hr190ih.xml,2505
BILLS-114hr191ih.xml,xml,False,14-Oct-2016 11:16,85.9 kB,BILLS-114hr191ih.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr191ih.xml,application/xml,BILLS-114hr191ih.xml,87954
BILLS-114hr30rfs.xml,xml,False,15-Oct-2016 12:41,5.5 kB,BILLS-114hr30rfs.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr30rfs.xml,application/xml,BILLS-114hr30rfs.xml,5606
BILLS-114hr3pcs.xml,xml,False,14-Oct-2016 10:26,5.4 kB,BILLS-114hr3pcs.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr3pcs.xml,application/xml,BILLS-114hr3pcs.xml,5507
BILLS-114hr30rds.xml,xml,False,14-Oct-2016 11:17,5.3 kB,BILLS-114hr30rds.xml,http://www.govinfo.gov/bulkdata/BILLS/114/1/hr/BILLS-114hr30rds.xml,application/xml,BILLS-114hr30rds.xml,5383
